id|groupe|nom|ministère_interrogé|rubrique|titre|date|question|question_clean
75|Les Républicains|M. Éric Pauget|Santé et prévention|pharmacie et médicaments|Commercialisation du Sativex en France pour traiter la sclérose en plaque|12/07/2022|M. Éric Pauget appelle l'attention de M. le ministre de la santé et de la prévention sur la date de commercialisation du médicament Sativex dans l'indication « spasticité dans la sclérose en plaques (SEP) résistante aux traitements disponibles ». La SEP, maladie qui touche 100 000 personnes en France, est la première cause de handicap chez les jeunes adultes après les accidents de la route. C'est une maladie chronique, évolutive, imprévisible pouvant entraîner de multiples symptômes invalidants tels que la fatigue, les troubles cognitifs et de la parole, les troubles de la marche ou encore la spasticité. Un produit comme Sativex est reconnu pour améliorer ce dernier symptôme. En France, 5 000 patients pourraient être efficacement traités par Sativex représentant un formidable espoir pour les patients souffrant de la SEP. En 2014, l'autorisation de mise sur le marché du Sativex a été accordée par l'Agence nationale de sécurité du médicament (ANSM). Huit ans plus tard, l'incompréhension la plus totale règne parmi les patients car ce médicament proposé comme traitement dans 17 pays européens, n'est toujours pas commercialisé en France. En effet, les patients français ont à portée de main un médicament susceptible d'améliorer durablement leurs conditions de vie dont ils ne peuvent pourtant bénéficier. Depuis, c'est une médecine à deux vitesses qui se développe et dans laquelle seuls les patients, souvent les plus aisés, prennent le risque de se procurer ce produit à l'étranger. Les raisons de son blocage demeurent fluctuantes. En effet, si dans un premier temps, le blocage a été imputé aux difficultés de négociations relatives au prix de vente, entre le laboratoire en charge de la commercialisation et le comité économique des produits de santé, il semblerait désormais que sa commercialisation dépende des recommandations issues de l'expérimentation relative à la pertinence et la faisabilité de la mise à disposition du cannabis thérapeutique en France. Conscient de la nécessité de remédier aux attentes des malades atteints de SEP, aussi il lui demande de bien vouloir éclaircir les raisons de ce blocage et d'indiquer clairement si la commercialisation du Sativex est envisagée et dans l'affirmative, à quelle échéance.|appelle attention santé prévention date commercialisation médicament sativex indication spasticité sclérose plaques sep résistante traitements disponibles sep maladie touche 100 000 personnes france cause handicap jeunes adultes accidents route maladie chronique évolutive imprévisible pouvant entraîner multiples symptômes invalidants fatigue troubles cognitifs parole troubles marche spasticité produit sativex reconnu améliorer dernier symptôme france 5 000 patients pourraient efficacement traités sativex représentant formidable espoir patients souffrant sep 2014 autorisation mise marché sativex été accordée agence nationale sécurité médicament ansm ans tard incompréhension totale règne patients médicament proposé traitement 17 pays européens commercialisé france patients français portée main médicament susceptible améliorer durablement conditions vie pourtant bénéficier médecine vitesses développe patients aisés prennent risque procurer produit étranger raisons blocage demeurent fluctuantes temps blocage été imputé difficultés négociations relatives prix vente laboratoire charge commercialisation comité économique produits santé semblerait commercialisation dépende recommandations issues expérimentation pertinence faisabilité mise disposition cannabis thérapeutique france conscient nécessité remédier attentes malades atteints sep demande bien vouloir éclaircir raisons blocage indiquer clairement commercialisation sativex envisagée affirmative échéance
76|Les Républicains|M. Patrick Hetzel|Santé et prévention|pharmacie et médicaments|Difficultés d'approvisionnement de médicaments très onéreux|12/07/2022|M. Patrick Hetzel appelle l'attention de M. le ministre de la santé et de la prévention sur les difficultés d'approvisionnement de médicaments très onéreux. Ces médicaments, dont le coût HT est supérieur à 3 000 euros, ne sont pas toujours disponibles. Cela est parfois dû à une mauvaise coordination entre les laboratoires, le réseau des grossistes répartiteurs et les officines. Aussi, il lui demande ce qui est envisageable pour optimiser la distribution et ainsi éviter toute répercussion sur la santé des patients.|appelle attention santé prévention difficultés approvisionnement médicaments onéreux médicaments coût ht supérieur 3 000 euros disponibles dû mauvaise coordination laboratoires réseau grossistes répartiteurs officines demande envisageable optimiser distribution éviter répercussion santé patients
77|Les Républicains|M. Thibault Bazin|Agriculture et souveraineté alimentaire|pharmacie et médicaments|Prescription des anticoccidiens au sein des élevages|12/07/2022|M. Thibault Bazin appelle l'attention de M. le ministre de l'agriculture et de la souveraineté alimentaire sur la menace qui pèse sur la prescription des anticoccidiens au sein des élevages. En effet, le 24 mars 2022, l'ordonnance n° 2022-414 du 23 mars 2022 portant adaptation des dispositions du code de la santé publique et du code rural et de la pêche maritime au droit de l'Union européenne dans le domaine des médicaments vétérinaires et aliments médicamenteux a été publiée au Journal officiel de la République française. Cette ordonnance vient notamment modifier certaines dispositions du code la santé publique afférentes à la préparation extemporanée et la vente au détail de médicaments vétérinaires et, parmi celles-ci, celles de son article L. 5143-6 prévoyant l'agrément des groupements professionnels agricoles pour l'achat et la détention des médicaments vétérinaires dans le cadre de la mise en œuvre d'un programme sanitaire d'élevage (PSE). Or une des modifications prévoit : « Cette liste ne peut comprendre de substances antibiotiques », excluant de fait les substances antimicrobiennes et, donc les anticoccidiens. Cette disposition irait à l'encontre des objectifs préconisés et constituerait une menace pour les élevages. C'est ainsi que dans une note, l'Agence européenne du médicament (EMA) propose clairement de conserver l'usage préventif des anticoccidiens chez les jeunes animaux, plutôt que d'attendre des signes cliniques pour déclencher trop tardivement une métaphylaxie ou un traitement curatif. Car, contre la coccidiose, la prévention est jugée comme une stratégie bien plus efficace que la métaphylaxie ou un traitement curatif. L'Agence européenne du médicament considère donc que la prévention avec les anticoccidiens, même pratiquée couramment en élevage, peut être considérée comme « exceptionnelle » si elle est ciblée sur des jeunes animaux pendant de très courtes périodes « stratégiques » et qu'il s'agit là de la seule méthode de contrôle efficace des coccidioses dans les élevages. De plus, l'interdiction de l'usage des anticoccidiens aurait pour effet de réduire l'activité sanitaire des groupements professionnels agricoles en diminuant l'activité de leurs vétérinaires, alors même que les structures vétérinaires tendent à disparaître dans les territoires, privant parfois les éleveurs de ce recours précieux. Il lui demande donc si le Gouvernement a l'intention de rectifier la rédaction de l'article L. 5143-6 du code de la santé publique afin de permettre aux groupements agréés d'acheter et de détenir des anticoccidiens.|appelle attention agriculture souveraineté alimentaire menace pèse prescription anticoccidiens sein élevages 24 mars 2022 ordonnance n° 2022 414 23 mars 2022 portant adaptation dispositions code santé publique code rural pêche maritime droit union européenne domaine médicaments vétérinaires aliments médicamenteux été publiée journal officiel république française ordonnance vient modifier dispositions code santé publique afférentes préparation extemporanée vente détail médicaments vétérinaires article l. 5143 6 prévoyant agrément groupements professionnels agricoles achat détention médicaments vétérinaires cadre mise œuvre programme sanitaire élevage pse modifications prévoit liste comprendre substances antibiotiques excluant substances antimicrobiennes anticoccidiens disposition irait encontre objectifs préconisés constituerait menace élevages note agence européenne médicament ema propose clairement conserver usage préventif anticoccidiens jeunes animaux attendre signes cliniques déclencher trop tardivement métaphylaxie traitement curatif contre coccidiose prévention jugée stratégie bien efficace métaphylaxie traitement curatif agence européenne médicament considère prévention anticoccidiens pratiquée couramment élevage considérée exceptionnelle ciblée jeunes animaux courtes périodes stratégiques agit méthode contrôle efficace coccidioses élevages interdiction usage anticoccidiens réduire activité sanitaire groupements professionnels agricoles diminuant activité vétérinaires structures vétérinaires tendent disparaître territoires privant éleveurs recours précieux demande gouvernement intention rectifier rédaction article l. 5143 6 code santé publique permettre groupements agréés acheter détenir anticoccidiens
78|La France insoumise - Nouvelle Union Populaire écologique et sociale|M. Adrien Quatennens|Santé et prévention|pharmacie et médicaments|Prise en charge de la technologie "boucle fermée" pour le traitement du diabète|12/07/2022|M. Adrien Quatennens appelle l'attention de M. le ministre de la santé et de la prévention sur la prise en charge de la technologie appelée « boucle fermée » pour le suivi et le traitement des diabétiques de type 1. Les diabètes de type 1 et 2 concernent 5,3 % de la population française. Le diabète de type 1 survient essentiellement chez l'enfant ou l'adulte jeune et représente environ 6 % des cas de diabète. La technologie Control-IQ est conçue pour permettre d'augmenter le temps passé dans la plage 70-180 mg/dL à l'aide des valeurs du système de mesure en continu du glucose (MCG) Dexcom G6 afin de prédire les taux de glucose à 30 minutes et d'ajuster l'administration d'insuline en conséquence. Ce système est révolutionnaire et permet un suivi précis et un contrôle renforcé du diabète. La technologie Control-IQ est déjà commercialisée ou en cours de commercialisation aux États-Unis d'Amérique, au Royaume-Uni ou en Allemagne. En septembre 2021, la Haute Autorité de santé avait indiqué lancer une évaluation rapide pour l'éligibilité, ouvrant droit à une prise en charge par l'assurance maladie. À ce jour, aucune suite n'a été portée à la connaissance des patients. Il l'interroge sur la date de publication de l'évaluation de la HAS et la prise en charge de cette nouvelle technologie de lutte contre le diabète de type 1.|appelle attention santé prévention prise charge technologie appelée boucle fermée suivi traitement diabétiques type 1 diabètes type 1 2 concernent 5,3 population française diabète type 1 survient essentiellement enfant adulte jeune représente 6 cas diabète technologie control iq conçue permettre augmenter temps passé plage 70 180 mg dl aide valeurs système mesure continu glucose mcg dexcom g6 prédire taux glucose 30 minutes ajuster administration insuline conséquence système révolutionnaire suivi précis contrôle renforcé diabète technologie control iq commercialisée cours commercialisation états-unis amérique royaume uni allemagne septembre 2021 haute autorité santé indiqué lancer évaluation rapide éligibilité ouvrant droit prise charge assurance maladie jour aucune suite été portée connaissance patients interroge date publication évaluation has prise charge nouvelle technologie lutte contre diabète type 1
79|Socialistes et apparentés|Mme Christine Pires Beaune|Santé et prévention|pharmacie et médicaments|Rémunération des pharmaciens gérant les piluliers des Ehpad|12/07/2022|Mme Christine Pires Beaune appelle l'attention de M. le ministre de la santé et de la prévention sur la situation des pharmaciens qui, en milieu rural, acceptent à titre bénévole de gérer au quotidien les piluliers des personnes hébergées dans les établissements d'hébergement pour personnes âgées dépendantes (Ehpad). Ils rendent alors un service appréciable à la collectivité. Toutefois, d'autres pharmaciens se sentent, à juste titre, en droit d'être rémunérés pour cet acte. Par une réponse à la question écrite n° 08545 parue au Journal officiel de la République française le 24 janvier 2019, le Gouvernement avait alors indiqué que « À ce jour, cette pratique n'est pas régie par un cadre juridique mais le ministère chargé de la santé élabore actuellement des dispositions réglementaires afin de définir un encadrement qui sécurise cette activité. Ces textes feront l'objet d'une large concertation avant publication ». Elle lui demande donc d'indiquer l'état d'avancement de rédaction desdits textes et l'orientation décidée par le Gouvernement s'agissant de la possibilité ou non de rémunérer les pharmaciens pour la gestion des piluliers des Ehpad et, le cas échant, à quelles conditions.|appelle attention santé prévention situation pharmaciens milieu rural acceptent titre bénévole gérer quotidien piluliers personnes hébergées établissements hébergement personnes âgées dépendantes ehpad rendent service appréciable collectivité toutefois pharmaciens sentent titre droit rémunérés acte réponse question écrite n° 08545 parue journal officiel république française 24 janvier 2019 gouvernement indiqué jour pratique régie cadre juridique ministère chargé santé élabore actuellement dispositions réglementaires définir encadrement sécurise activité textes objet large concertation publication demande indiquer état avancement rédaction desdits textes orientation décidée gouvernement agissant possibilité non rémunérer pharmaciens gestion piluliers ehpad cas échant conditions
80|Rassemblement National|M. Stéphane Rambaud|Intérieur et outre-mer|police|Départementalisation de la police judiciaire|12/07/2022|M. Stéphane Rambaud appelle l'attention de M. le ministre de l'intérieur et des outre-mer sur les inquiétudes qui se font jour au sein de la police judiciaire (PJ) à l'occasion de la création des directions départementales de la police nationale (DDPN). En effet, une réforme en cours au sein de la police judiciaire prévoit la suppression des brigades spécialisées et la refonte dans les effectifs globaux de la sécurité publique des moyens des services d'enquêtes. Au lieu de trois services, il est envisagé la création d'un grand et unique service dédié à l'investigation. Or il est connu que les enquêtes sur les dossiers les plus lourds, liés aux « gros délinquants », nécessitent plus de temps et de moyens matériels et humains. La disparition du niveau trois, celui des enquêtes les plus complexes, risque ainsi d'entraver les capacités d'enquêtes de la police judiciaire. Il en est de même de la brigade économique et financière qui serait aussi appelée à disparaître. Les moyens de la direction centrale de la PJ risquent, dans le même temps, d'être gravement compromis et d'entraver les enquêtes menées de la frontière italienne à la frontière espagnole. D'autre part, il est faux de dire que les services ne communiquent pas, la PJ travaillant déjà avec la sécurité publique (SP), notamment grâce aux CROSS stups (et bientôt CROSS armes) gérées par la PJ. C'est pourquoi il lui demande de bien vouloir lui préciser s'il entend revenir sur cette réforme qui n'entraîne pas l'adhésion des personnels des services concernés et s'il souhaite maintenir un échelon hiérarchique zonal à la PJ, jugé indispensable par tous les fonctionnaires de la PJ pour faire face à une délinquance extrêmement mobile en évitant l'échelon départemental, qui n'est absolument pas adapté.|appelle attention intérieur outre-mer inquiétudes jour sein police judiciaire pj occasion création directions départementales police nationale ddpn réforme cours sein police judiciaire prévoit suppression brigades spécialisées refonte effectifs globaux sécurité publique moyens services enquêtes lieu services envisagé création grand unique service dédié investigation connu enquêtes dossiers lourds liés gros délinquants nécessitent temps moyens matériels humains disparition niveau enquêtes complexes risque entraver capacités enquêtes police judiciaire brigade économique financière appelée disparaître moyens direction centrale pj risquent temps gravement compromis entraver enquêtes menées frontière italienne frontière espagnole part faux services communiquent pj travaillant sécurité publique sp grâce cross stups bientôt cross armes gérées pj demande bien vouloir préciser entend revenir réforme entraîne adhésion personnels services concernés souhaite maintenir échelon hiérarchique zonal pj jugé indispensable fonctionnaires pj faire face délinquance extrêmement mobile évitant échelon départemental absolument adapté
81|Rassemblement National|M. Stéphane Rambaud|Intérieur et outre-mer|police|Effectifs de la police nationale sur l'île de Porquerolles|12/07/2022|M. Stéphane Rambaud appelle l'attention de M. le ministre de l'intérieur et des outre-mer sur l'île de Porquerolles. En effet, du fait d'un manque d'effectif, les policiers basés sur l'île de Porquerolles devront, cet été, prendre la dernière navette maritime afin de retourner sur le continent. Cette année, pour la première fois depuis trente ans, les habitants de l'île ne pourront plus bénéficier du service de protection de nuit auquel ils ont légitimement droit. Or, en période estivale, la perle des îles d'Or voit sa population multipliée par trois du fait de l'arrivée massive des touristes. Les activités de nuit connaissent alors un essor sans précédent, les bars laissent le volume sonore s'envoler jusqu'au petit matin. L'île, livrée à elle-même en l'absence de surveillance policière, est victime de toutes sortes d'incivilités, de débordements et parfois même de trafics de substances illicites. Les cinq pompiers qui, eux, restent de garde toute la nuit sur l'île ne veulent et ne peuvent se substituer à la police. De minuit, heure de départ de la dernière navette vers le continent, jusqu'à l'aube, Porquerolles ne connaît plus la tranquillité. Malgré les demandes appuyées de la municipalité, les effectifs de la police nationale restent insuffisants et expliquent la situation difficile que vit l'île de Porquerolles en période estivale. C'est pourquoi il lui demande de bien vouloir lui indiquer les mesures urgentes qu'il entend prendre afin de renforcer les moyens de la police sur la commune de Hyères-les-Palmiers afin qu'ils puissent maintenir un service de protection de nuit sur l'île de Porquerolles durant toute la période estivale.|appelle attention intérieur outre-mer île porquerolles manque effectif policiers basés île porquerolles devront été prendre dernière navette maritime retourner continent année fois ans habitants île pourront bénéficier service protection nuit légitimement droit période estivale perle îles voit population multipliée arrivée massive touristes activités nuit connaissent essor précédent bars laissent volume sonore envoler jusqu' petit matin île livrée absence surveillance policière victime sortes incivilités débordements trafics substances illicites pompiers garde nuit île veulent substituer police minuit heure départ dernière navette continent jusqu' aube porquerolles connaît tranquillité demandes appuyées municipalité effectifs police nationale insuffisants expliquent situation difficile vit île porquerolles période estivale demande bien vouloir indiquer mesures urgentes entend prendre renforcer moyens police commune hyères-les-palmiers puissent maintenir service protection nuit île porquerolles période estivale
82|La France insoumise - Nouvelle Union Populaire écologique et sociale|Mme Clémence Guetté|Économie, finances, souveraineté industrielle et numérique|pouvoir d'achat|Clause de modération salariale dans le cadre du PGE accordé à Air France|12/07/2022|Mme Clémence Guetté interroge M. le ministre de l'économie, des finances et de la souveraineté industrielle et numérique sur l'existence d'une clause de modération salariale dans le cadre du prêt garanti par l'État accordé à Air France. Les personnels de la compagnie aérienne Air France et de Transavia France, filiale du groupe Air France-KLM basée à l'Aéroport de Paris-Orly, revendiquent actuellement des augmentations salariales afin de faire face à l'inflation record qui frappe le pays. Ces revendications apparaissent justifiées, au vu de l'inflation supérieure à 5 % annoncée pour cette année. Cependant, la direction du groupe ne consent pas à accorder ces hausses de salaires, pourtant nécessaires au maintien du niveau de vie des salariés. Elle prétend être contrainte à la modération salariale par une clause du prêt garanti par l'État accordé à Air France-KLM en 2020. Les organisations syndicales de l'entreprise affirment que la direction de l'entreprise justifie ainsi son refus d'augmenter les salaires, sans toutefois leur fournir de document prouvant l'existence de cette clause. Par conséquent, elle aimerait savoir si l'octroi d'un prêt garanti par l'État a effectivement entraîné la signature d'une telle clause et si c'est le cas, ce qu'il compte faire pour permettre aux personnels du groupe Air France d'obtenir les revalorisations salariales nécessaires et non des primes, pour qu'ils surmontent la hausse du coût de la vie.|interroge économie finances souveraineté industrielle numérique existence clause modération salariale cadre prêt garanti état accordé air france personnels compagnie aérienne air france transavia france filiale groupe air france klm basée aéroport paris orly revendiquent actuellement augmentations salariales faire face inflation record frappe pays revendications apparaissent justifiées inflation supérieure 5 annoncée année direction groupe consent accorder hausses salaires pourtant nécessaires maintien niveau vie salariés prétend contrainte modération salariale clause prêt garanti état accordé air france klm 2020 organisations syndicales entreprise affirment direction entreprise justifie refus augmenter salaires toutefois fournir document prouvant existence clause conséquent aimerait savoir octroi prêt garanti état effectivement entraîné signature clause cas compte faire permettre personnels groupe air france obtenir revalorisations salariales nécessaires non primes surmontent hausse coût vie
83|Rassemblement National|Mme Mathilde Paris|Santé et prévention|professions de santé|Difficultés d'accès à un orthophoniste dans le Loiret|12/07/2022|Mme Mathilde Paris attire l'attention de M. le ministre de la santé et de la prévention sur les difficultés d'accès à un orthophoniste dans le Loiret. Spécialité majoritairement exercée en activité libérale, l'orthophonie souffre d'une répartition territoriale très inégale. Avec 27,1 orthophonistes pour 100 000 habitants, le Loiret se classe au 62e rang sur 101 départements. Il en résulte des prises en charge retardées et des priorisations qui pénalisent de nombreux patients. Cette situation trouve essentiellement son explication dans le recrutement des orthophonistes, le nombre de places de formation étant bien trop faible pour répondre aux besoins et compenser le nombre de départs. De nombreux patients inscrits sur liste d'attente sont contraints d'attendre des mois voire des années pour obtenir un rendez-vous, parfois à des dizaines kilomètres de leur domicile. Aujourd'hui, des délais d'attente records sont atteints dans le Loiret. Alors que la problématique de démographie médicale inquiète de plus en plus de patients, elle lui demande s'il envisage de procéder à une révision du zonage des bassins de vie dans le Loiret afin de prendre en compte ces difficultés et permettre à de nouveaux praticiens d'obtenir des aides à l'installation dans les zones déficitaires et plus largement quelles solutions il compte prendre pour former davantage d'orthophonistes.|attire attention santé prévention difficultés accès orthophoniste loiret spécialité majoritairement exercée activité libérale orthophonie souffre répartition territoriale inégale 27,1 orthophonistes 100 000 habitants loiret classe 62e rang 101 départements résulte prises charge retardées priorisations pénalisent patients situation trouve essentiellement explication recrutement orthophonistes nombre places formation bien trop faible répondre besoins compenser nombre départs patients inscrits liste attente contraints attendre mois voire années obtenir rendez-vous dizaines kilomètres domicile aujourd'hui délais attente records atteints loiret problématique démographie médicale inquiète patients demande envisage procéder révision zonage bassins vie loiret prendre compte difficultés permettre nouveaux praticiens obtenir aides installation zones déficitaires largement solutions compte prendre former davantage orthophonistes
84|La France insoumise - Nouvelle Union Populaire écologique et sociale|M. François Ruffin|Santé et prévention|professions de santé|Indexation de la grille tarifaire des ambulances sur l'inflation|12/07/2022|M. François Ruffin interpelle M. le ministre de la santé et de la prévention : dans la chaîne de soin, les ambulanciers tiennent bon. Ce maillon, le laissera--t-il craquer, ou le renforcera-t-il ? Va-t-il revoir la grille tarifaire des ambulances pour l'indexer sur l'inflation ? « On en a marre d'être sous perfusion ». Bruno Villalpando, patron des ambulances Sainte-Anne à Amiens, a serré les dents pendant la crise covid : « Je n'ai pas fait de chômage partiel, ni de prêt garanti par l'État. Mon entreprise a perdu un million d'euros. Forcément, on ne faisait plus que du transport de patient covid, conventionné 89 euros. Parfois ça pouvait prendre 1h45 par patient, avec la désinfection. Mais on nous a dit que c'était la « guerre », alors on est allés en première ligne comme on nous l'a demandé. En remerciement, qu'est-ce qu'on a eu ? On a eu droit à un beau discours d'Olivier Véran le 13 juillet 2020 au Grand palais, des remerciements du Président de la République le 14 juillet, mais c'est pas ça qui fait bouillir la marmite. Aujourd'hui on se sent abandonnés ». Même constat chez ses collègues, dirigeants des ambulances Besancourt à Molliens-Dreuil et Pétain à Domart : « Depuis 2011, on fonctionne avec la même grille tarifaire pour le transport couché. Aucune revalorisation depuis 9 ans, alors que tout augmente : les salaires conventionnels des ambulanciers, le matériel, l'entretien des véhicules pour correspondre aux normes sanitaires... Pendant le covid, avec les ruptures de stock et la ruée sur les produits sanitaires, les prix de certaines fournitures comme les combinaisons ont été multipliés par 10 ! » Après la crise covid, c'est maintenant celle des carburants : « À plus de 2 euros le litre, on se retrouve face à des choix impossibles. Des salariés hésitent à continuer de travailler quand toute leur paye part dans l'essence. Mais même pour nous, au-delà de 20 kilomètres, ce n'est plus rentable de partir en intervention. On refuse de se rendre dans des zones reculées. On est en train de créer un désert sanitaire. Ça va poser un problème dans l'accès aux soins des patients ». M. le député le sait, la tâche de M. le ministre est colossale. L'hôpital public est par terre, les soignants sont à bout, les Ehpad sont en crise, la psychiatrie en lambeaux, les déserts médicaux s'étendent. Dans cette chaîne du soin mal en point, les ambulanciers, pour l'instant, tiennent bon. Ce maillon, va-t-on le renforcer ou, à son tour, le laisser craquer ? Et le regretter quand il sera trop tard ? Aussi, il lui demande d'indexer la grille tarifaire des ambulanciers sur l'inflation, pour que eux, leurs entreprises, leurs salariés, puissent vivre de leur travail, tout simplement et non d'aides successives.|interpelle santé prévention chaîne soin ambulanciers tiennent bon maillon laissera t -il craquer renforcera -t -il -t -il revoir grille tarifaire ambulances indexer inflation marre perfusion bruno villalpando patron ambulances sainte-anne amiens serré dents crise covid chômage partiel prêt garanti état entreprise perdu million euros forcément faisait transport patient covid conventionné 89 euros prendre 1h45 patient désinfection guerre allés ligne demandé remerciement -ce droit beau discours olivier véran 13 juillet 2020 grand palais remerciements président république 14 juillet bouillir marmite aujourd'hui abandonnés constat collègues dirigeants ambulances besancourt molliens dreuil pétain domart 2011 fonctionne grille tarifaire transport couché aucune revalorisation 9 ans augmente salaires conventionnels ambulanciers matériel entretien véhicules correspondre normes sanitaires covid ruptures stock ruée produits sanitaires prix fournitures combinaisons été multipliés 10 crise covid carburants 2 euros litre retrouve face choix impossibles salariés hésitent continuer travailler paye part essence au-delà 20 kilomètres rentable partir intervention refuse zones reculées train créer désert sanitaire poser problème accès soins patients député tâche colossale hôpital public terre soignants bout ehpad crise psychiatrie lambeaux déserts médicaux étendent chaîne soin mal point ambulanciers instant tiennent bon maillon -t -on renforcer tour craquer regretter trop tard demande indexer grille tarifaire ambulanciers inflation entreprises salariés puissent vivre travail simplement non aides successives
85|Les Républicains|M. Thibault Bazin|Santé et prévention|professions de santé|Validation des acquis de l'expérience (VAE) des aides-soignants|12/07/2022|M. Thibault Bazin appelle l'attention de M. le ministre de la santé et de la prévention sur les conséquences de l'arrêté du 28 mars 2022 sur la validation des acquis de l'expérience (VAE) pour les aides-soignants. La démarche pour obtenir cette VAE est en effet longue et astreignante. L'une de ses étapes est la fourniture d'un livret de présentation des acquis de l'expérience, livret de 46 pages qu'il convient de remplir, de faire corriger et de valider. Or cet arrêté du 28 mars 2022 a provoqué la mise en place d'un nouveau livret mettant en difficulté toutes les personnes qui ont entamé leur parcours depuis 2019 ou 2020. C'est ainsi qu'une personne inscrite depuis septembre 2019 pour faire sa validation des acquis en 3 ans fait face à la date butoir du 15 septembre 2022 pour renvoyer son dossier. Alors que sa démarche était prête à aboutir, à savoir que son livret était rempli, prêt à être validé et ses 8 modules terminés, elle vient d'apprendre qu'elle devrait désormais réécrire le nouveau livret en trois mois pour pouvoir ensuite passer l'oral et ainsi valider son diplôme. Il vient donc lui demander un aménagement de ces dispositions pour les personnes qui ont commencé ce parcours de VAE en 2019 ou 2020, soit le maintien de l'ancien livret à déposer au terme prévu, solution souhaitée par ces personnes, ou alors l'obtention d'un délai supplémentaire pour la réécriture de ce livret 2.|appelle attention santé prévention conséquences arrêté 28 mars 2022 validation acquis expérience vae aides soignants démarche obtenir vae longue astreignante étapes fourniture livret présentation acquis expérience livret 46 pages convient remplir faire corriger valider arrêté 28 mars 2022 provoqué mise place livret mettant difficulté personnes entamé parcours 2019 2020 inscrite septembre 2019 faire validation acquis 3 ans face date butoir 15 septembre 2022 renvoyer dossier démarche prête aboutir savoir livret rempli prêt validé 8 modules terminés vient apprendre devrait réécrire livret mois pouvoir ensuite passer oral valider diplôme vient demander aménagement dispositions personnes commencé parcours vae 2019 2020 maintien ancien livret déposer terme prévu solution souhaitée personnes obtention délai supplémentaire réécriture livret 2
86|Libertés, Indépendants, Outre-mer et Territoires|M. Paul Molac|Santé et prévention|professions et activités sociales|Statut des accompagnants éducatifs et sociaux|12/07/2022|M. Paul Molac interroge M. le ministre de la santé et de la prévention sur la situation des personnels titulaires du diplôme d'accompagnant éducatif et social, DEAES, qui ne bénéficient pas d'un véritable cadre d'emploi et qui, de ce fait, souffrent toujours d'une certaine précarité salariale. Pour rappel, le décret n° 2016-74 du 29 janvier 2016 relatif au diplôme d'État d'accompagnant éducatif et social et modifiant le code de l'action sociale et des familles a créé le métier d'accompagnant éducatif et social avec trois spécialités : à domicile, en structure collective ou à l'école. Il a ainsi permis une meilleure reconnaissance professionnelle de ces accompagnants qui exercent à la fois en tant que soignants et éducateurs. L'objectif était de lutter contre la précarité et l'usure de ces métiers, mais aussi de faire face aux besoins croissants en accompagnants auprès des personnes âgées ou handicapées ainsi que des enfants en difficulté. Cependant, faute d'une mise en place d'un cadre d'emploi au sein des collectivités territoriales, l'objectif n'est pas encore atteint. Les titulaires du DEAES « vie en structure collective » sont assimilés à des agents techniques alors que les accompagnants « vie à domicile » intègrent le cadre d'emploi des agents sociaux. De plus, ils ne peuvent pas se présenter au concours d'auxiliaire de soins territorial. Quant aux aides médico-psychologiques avant la mise en place du DEAES, elles intégraient le cadre d'emploi des auxiliaires de soins. En outre, le diplôme d'État d'accompagnant éducatif et social, qui comprend 1 407 heures de formation dont 546 heures de formation théorique décomposées en cinq blocs de compétences, est un diplôme de niveau V dont la reconnaissance est équivalente au niveau CAP. Tous ces éléments ont un impact sur la reconnaissance même de ces différents métiers avec des grilles salariales au SMIC et trop souvent des emplois à temps partiels alors que les conditions de travail sont difficiles, voire très difficiles. C'est pourquoi alors que les diplômés accompagnants éducatifs et sociaux se sont avérés être un maillon indispensable pour assurer la prise en charge de personnes en situation de fragilité durant la crise sanitaire, il lui demande s'il envisage que soit achevée la réforme du statut des AES afin qu'ils puissent bénéficier d'une reconnaissance diplômante et salariale à la hauteur de leurs multiples compétences.|interroge santé prévention situation personnels titulaires diplôme accompagnant éducatif social deaes bénéficient véritable cadre emploi souffrent précarité salariale rappel décret n° 2016 74 29 janvier 2016 relatif diplôme état accompagnant éducatif social modifiant code action sociale familles créé métier accompagnant éducatif social spécialités domicile structure collective école permis meilleure reconnaissance professionnelle accompagnants exercent fois soignants éducateurs objectif lutter contre précarité usure métiers faire face besoins croissants accompagnants auprès personnes âgées handicapées enfants difficulté faute mise place cadre emploi sein collectivités territoriales objectif atteint titulaires deaes vie structure collective assimilés agents techniques accompagnants vie domicile intègrent cadre emploi agents sociaux présenter concours auxiliaire soins territorial aides médico-psychologiques mise place deaes intégraient cadre emploi auxiliaires soins diplôme état accompagnant éducatif social comprend 1 407 heures formation 546 heures formation théorique décomposées blocs compétences diplôme niveau v reconnaissance équivalente niveau cap éléments impact reconnaissance métiers grilles salariales smic trop emplois temps partiels conditions travail difficiles voire difficiles diplômés accompagnants éducatifs sociaux avérés maillon indispensable assurer prise charge personnes situation fragilité crise sanitaire demande envisage achevée réforme statut aes puissent bénéficier reconnaissance diplômante salariale hauteur multiples compétences
