id|groupe|nom|ministère_interrogé|rubrique|titre|date|question
291|Les Républicains|M. Vincent Descoeur|Économie sociale et solidaire et vie associative|institutions sociales et médico sociales|Revalorisation des métiers de l'accompagnement social et médico-social|26/07/2022|M. Vincent Descoeur appelle l'attention de Mme la secrétaire d'État auprès de la Première ministre, chargée de l'économie sociale et solidaire et de la vie associative sur la situation préoccupante des structures sociales et médico-sociales qui se trouvent en grande difficulté en raison notamment du manque de personnel. Les fortes tensions en matière de recrutement impactent la sécurité, la qualité, voire le maintien de l'accompagnement des plus fragiles. Aujourd'hui en France, ce sont dix millions de personnes vulnérables, soit 15 % des concitoyens, qui ont besoin d'accompagnement. Si ces métiers de l'accompagnement sont porteurs de sens, ils sont aujourd'hui confrontés à un véritable déficit d'attractivité. Des milliers d'emplois sont actuellement non pourvus. De moins en moins d'élèves entrent en formation des métiers du secteur. Les départs à la retraite de milliers de salariés doivent pouvoir être compensés. Le modèle social français est en danger. La mise en œuvre des mesures du Ségur et les accords Laforcade qui maintiennent des disparités entre les professionnels ne font qu'accentuer le malaise dans la profession. Le secteur est également lourdement impacté par les conséquences de l'inflation et notamment par l'explosion des prix de l'énergie qui n'ont pas été pris en compte dans les financements des structures pour l'année 2022. Aussi, il lui demande quelles mesures que le Gouvernement entend mettre en œuvre pour aider le secteur à devenir plus attractif et plus largement pour que le système d'accompagnement des personnes vulnérables soit mieux financé et qu'il gagne en qualité.
292|Non inscrit|M. Jean-Charles Larsonneur|Santé et prévention|institutions sociales et médico sociales|Revalorisation salariale du personnel des services de soins et d'aide à domicile|26/07/2022|M. Jean-Charles Larsonneur interroge M. le ministre de la santé et de la prévention sur la revalorisation salariale du personnel des services de soins et d'aide à domicile (SSAD). S'il salue l'agrément de l'avenant 43 de la convention collective de la branche de l'aide à domicile qui permet, depuis le 1er octobre 2021, aux salariés de ces services de bénéficier d'une revalorisation salariale, il tient à souligner que les aides à domicile employées par des entreprises du secteur privé lucratif ne seront pas concernées par cette revalorisation. Partant, le secteur souffre d'une distorsion de concurrence, a fortiori dans un contexte de pénurie de main-d'œuvre. Or les professionnels du secteur privé représentent la moitié des aides à domicile en France. Ainsi, il demande les mesures que le Gouvernement souhaite prendre pour revaloriser le salaire des aides à domicile employées par une entreprise privée, au nom du principe d'égalité.
293|Les Républicains|M. Raphaël Schellenberger|Justice|Internet|Escroqueries de fausses factures|26/07/2022|M. Raphaël Schellenberger appelle l'attention de M. le garde des sceaux, ministre de la justice, au sujet des escroqueries aux fausses factures. Dans les faits, la victime de cette infraction reçoit par mail de fausses factures accompagnées d'un RIB pour le règlement. Malheureusement, une fois les virements effectués, aucune assurance bancaire ne couvre le dédommagement de ces escroqueries. Les victimes se trouvent souvent démunies puisque, même après avoir déposé plainte, il appartient à un magistrat d'accepter ou non la levée de l'identité bancaire de l'escroc, demande qui par ailleurs est payante. Il lui demande à cet égard quelles mesures le Gouvernement entend mettre en œuvre afin de remédier à ces situations injustes qui concernent un nombre croissant de Français.
294|Libertés, Indépendants, Outre-mer et Territoires|M. Christophe Naegelen|Intérieur et outre-mer|jeux et paris|Recrudescence des sites illégaux de jeux de casino|26/07/2022|M. Christophe Naegelen appelle l'attention de M. le ministre de l'intérieur et des outre-mer sur la recrudescence des sites illégaux de jeux de casino. En effet, la crise sanitaire qui a débuté en 2020 a vu se développer un nombre de plus en plus grand de sites de jeux de casino en ligne et, parmi ces derniers, des sites illégaux. Ceux-ci entraînent nombre de conséquences néfastes sur la santé et le bien être des joueurs, avec notamment des problèmes d'endettement ou d'addiction. Ces sites illégaux, qui capitalisent bien souvent sur la misère d'autrui, représentent en outre une concurrence déloyale envers les sites et établissements légaux et responsables, qui se soumettent eux volontiers aux règles visant à assurer la sécurité des joueurs. Par un défaut de contrôle sur ces activités illégales, qui représentent en France un chiffre d'affaires de plus d'un milliard d'euros par an, l'État manque à son devoir de protection des citoyens et se prive d'une source importante de revenus en raison d'activités financières et commerciales qui échappent à l'impôt. Il lui demande donc quelles seront les mesures mises en place par le Gouvernement pour lutter contre ce fléau qui touche une part de plus en plus grande et de plus en plus jeune de la population française.
295|Renaissance|M. Joël Giraud|Justice|justice|Moyens d'investigation des parquets|26/07/2022|M. Joël Giraud alerte M. le garde des sceaux, ministre de la justice sur les arrêts rendus par la Cour de cassation, le 12 juillet 2022, à propos de l'utilisation des « données de connexion », c'est-à-dire les éléments tirés de l'exploitation de la téléphonie d'une personne dans les enquêtes pénales et leurs conséquences sur les moyens d'enquête des parquets du pays. Les décisions en question tirent les conséquences en droit interne d'une décision de la Cour de justice de l'Union européenne du 2 mars 2021 se prononçant sur les conditions dans lesquelles une réglementation nationale peut autoriser l'accès aux données de téléphonie (géolocalisation, fadettes, SMS) dans le cadre d'enquête pénales. La Cour de cassation a confirmé que le procureur de la République, parce qu'il est une autorité de poursuite, ne peut pas être compétent pour ordonner de telles mesures d'investigation attentatoires à la vie privée. La Cour constate donc que les réquisitions du parquet ou des enquêteurs visant les données de téléphonie sont contraires au droit de l'Union européenne et doivent désormais être autorisées au préalable par une juridiction ou autorité administrative indépendante, ce que la loi française n'organise pas. En outre, la Cour de cassation précise que même le juge ou l'autorité administrative indépendante n'a la possibilité d'autoriser de telles investigations que dans le périmètre de « la criminalité grave », sans définir la notion. Il en résulte une insécurité juridique majeure, la téléphonie étant un facteur central dans l'élucidation des affaires, autant à charge ou à décharge, utilisé quotidiennement par les parquets et services enquêteurs. L'impossibilité de recourir à ce type d'investigations pourrait constituer un obstacle majeur à la lutte contre les différentes formes de délinquance. De plus, l'application effective d'un contrôle préalable des réquisitions de téléphonie par le juge, au regard de la masse considérable d'autorisations qui seraient nécessaires, contribuerait à redéployer une grande part des juges dont tout le monde s'accorde à reconnaître qu'ils ne sont déjà pas en effectif suffisant. Il souhaiterait donc connaître les mesures que le Gouvernement entend prendre afin de garantir le bon fonctionnement de notre justice, pérenniser les moyens d'investigation dont disposent les parquets et plus largement adapter le système juridique pénal français avec le droit européen.
296|Socialistes et apparentés|M. Gérard Leseul|Justice|justice|Non rétroctivité de l'article 265 du code civil|26/07/2022|M. Gérard Leseul attire l'attention de M. le garde des sceaux, ministre de la justice, au sujet des difficultés liées à l'inapplicabilité de l'article 265 du code civil aux divorces prononcés avant le 1er janvier 2005. L'article 265 nouveau du code civil est issu de la loi du 26 mai 2004 visant à réformer le divorce et certaines libéralités entre époux. Cette réforme ne prévoit pas de rétroactivité pour ce nouveau régime. De fait, pour les personnes divorcées en vertu d'une assignation antérieure au 1er janvier 2005, ce sont les anciennes dispositions du code civil qui sont applicables. Sous l'empire du code civil ancien, l'époux fautif perd de plein droit le bénéfice des donations et avantages matrimoniaux consentis par son conjoint, à l'inverse de l'autre conjoint qui en conserve le bénéfice. Les ex-époux, fautifs ou non, pouvaient révoquer ces libéralités. Par conséquent, si une donation entre époux n'est pas révoquée, elle bénéficie à l'ex-conjoint lors de la succession de son auteur. En absence de révocation, il est possible de constater via l'application de cette ancienne réglementation qu'un conjoint divorcé depuis près de 20 ans peut encore hériter de son ex-conjoint alors même que celui-ci a potentiellement conclu un nouvel acte civil et a pu modifier sa situation matérielle. Si la jurisprudence a pu admettre des cas de tacite révocation, une nouvelle union conjugale ne permet pas de déduire cette révocation. Cette absence de rétroactivité de la réforme du 26 mai 2004 entraîne une forme d'insécurité juridique pour les ex-époux et pour leurs potentiels nouveaux conjoints. Il l'interroge afin de prendre connaissance des mesures que le Gouvernement envisage de mettre en œuvre pour garantir la sécurité juridique des ex-époux et de leurs ayants droit via notamment une réforme permettant l'application rétroactive sauf volonté contraire du disposant de l'article 265 du code civil.
297|Non inscrit|Mme Emmanuelle Ménard|Justice|justice|Recevabilité des preuves numériques|26/07/2022|Mme Emmanuelle Ménard attire l'attention de M. le garde des sceaux, ministre de la justice, sur les conséquences des arrêts de la cour de cassation relatifs aux données de connexion pour la lutte contre la délinquance. Le 12 juillet 2022, la Cour de cassation a rendu quatre arrêts tirant les conséquences des décisions rendues par la Cour de justice de l'Union européenne relatives à la conservation des données et l'accès à celles-ci dans le cadre de procédures pénales. En effet, dans plusieurs affaires de meurtre ou de trafic de stupéfiant, des personnes mises en examen ont demandé l'annulation des réquisitions portant sur leurs données de trafic et de localisation délivrées par des enquêteurs agissant en enquête de flagrance sous le contrôle du procureur de la République ou sur commission rogatoire du juge d'instruction ainsi que des actes d'exploitation de ces données. La Cour de cassation a confirmé que le procureur de la République, parce qu'il est une autorité de poursuite, ne peut pas être compétent pour ordonner de telles mesures qui sont alors jugées comme « attentatoires à la vie privée ». Les réquisitions visant les données issues de la téléphonie sont donc contraires au droit de l'Union européenne parce que la loi actuelle ne prévoit pas un contrôle préalable par une juridiction ou une entité administrative indépendante et neutre. Par ailleurs, la Cour de cassation précise que ce même juge ou l'autorité administrative indépendante n'a la possibilité d'autoriser de telles investigations que dans le périmètre de la « criminalité grave », notion qu'elle ne définit que trop vaguement et qui n'obéit à aucune définition dans le droit pénal français. Quand on sait que la téléphonie est l'un des facteurs centraux dans la résolution des affaires - autant à charge qu'à décharge - et qu'elle est utilisée chaque jour par les parquets et les services enquêteurs, l'impression est grande de tomber dans une insécurité qui n'est hélas, pas que juridique. En effet, ces arrêts constituent des obstacles à l'identification des délinquants et des criminels et feront peser sur les juges d'instruction une charge de travail à laquelle ils ne pourront sans doute pas répondre. Face à ce constat, elle lui demande quelles mesures il compte prendre pour permettre à la justice française et aux enquêteurs de pouvoir faire au mieux leur travail en conjuguant le respect du droit européen et la possibilité de se servir de preuves sans alourdir outre mesure les procédures existantes.
298|Les Républicains|M. Vincent Descoeur|Justice|justice|Simplification de la procédure des divorces judiciaires|26/07/2022|M. Vincent Descoeur appelle l'attention de M. le garde des sceaux, ministre de la justice sur les dispositions de la loi n° 2019-222 du 23 juin 2019 de programmation 2018-2022 et de réforme pour la justice qui a apporté des modifications à la procédure des divorces contentieux et dont l'objectif était de simplifier la procédure des divorces judiciaires. Or, il semblerait que dans les faits, des éléments de blocage demeurent puisque l'article 1107 du code de procédure civile dispose que « lorsque le demandeur n'a pas indiqué le fondement de la demande en divorce dans l'acte introductif d'instance, le défendeur ne peut lui-même indiquer le fondement de la demande en divorce avant les premières conclusions au fond du demandeur ». Ainsi, il suffit que l'une des parties tarde à transmettre sa demande pour que la procédure soit bloquée. En effet, les textes n'imposant aucune date limite de dépôt, la procédure peut être suspendue durant des années, pouvant mettre ainsi en difficulté le conjoint, otage de la situation, qui se voit condamné durant cette période à verser des pensions alimentaires. Aussi, il souhaiterait savoir si le Gouvernement envisage de faire évoluer les textes afin d'imposer des délais au défendeur pour le rendu de ses premières conclusions au fond.
299|Non inscrit|M. Jean-Charles Larsonneur|Europe et affaires étrangères|langue française|Avenir de la langue française au sein des institutions de l'Union européenne|26/07/2022|M. Jean-Charles Larsonneur interroge Mme la ministre de l'Europe et des affaires étrangères sur la situation de la langue française au sein des institutions de l'Union européenne. Comme l'a rappelé le Président de la République à la conférence sur la sécurité de Munich en citant Umberto Eco, « la langue de l'Europe est la traduction ». En effet, comme le dispose le règlement du Conseil n° 1/1958, les vingt-quatre langues officielles de l'Union européenne sont en même temps des langues de travail et peuvent donc être utilisées de plein droit au sein des institutions. Pour leur fonctionnement interne quotidien, les institutions s'appuient toutefois sur un nombre restreint de langues de travail : l'anglais, le français et dans une moindre mesure l'allemand. Or le retrait du Royaume-Uni de l'Union rend caduque l'utilisation de l'anglais comme langue de travail au sein des institutions. C'est aussi l'opportunité de revitaliser le multilinguisme aujourd'hui menacé : il y a 20 ans, 40 % des textes produits par la Commission européenne l'étaient en français contre moins de 3 % aujourd'hui. Il souhaite donc savoir quelles mesures seront adoptées afin de défendre l'usage du français au sein des institutions européennes.
300|Gauche démocrate et républicaine - NUPES|M. Hubert Wulfranc|Justice|lieux de privation de liberté|Lutte contre le trafic et la consommation de drogues en milieu carcéral.|26/07/2022|M. Hubert Wulfranc interroge M. le garde des sceaux, ministre de la justice, sur la problématique de l'usage de drogues en milieu carcéral, en particulier de drogues dures pouvant notamment conduire au décès du consommateur. Le 3 avril 2021 un homme de 31 ans est ainsi décédé à la maison d'arrêt d'Evreux, vraisemblablement à la suite d'une overdose survenue dans sa cellule où il était incarcéré avec deux autres détenus. Entré dans la maison d'arrêt d'Evreux en janvier 2022 pour y purger une peine de 5 ans, ce jeune homme, père d'un enfant, y est décédé après moins de quatre mois d'emprisonnement. Ce décès illustre la problématique de la grande perméabilité des établissements pénitentiaires à l'entrée et à la consommation des drogues en leur sein. Selon la note Théma « Usages des drogues en prison. Pratiques, conséquences et réponses » publiée en décembre 2019 par l'observatoire français des drogues et des toxicomanies (OFDT), la consommation de drogues en milieu carcéral atteint des niveaux bien supérieurs à la moyenne nationale. Ainsi, une enquête réalisée dans les établissements de Lyon, Corbas et de Liancourt témoigne d'une consommation de cannabis avoisinant 40 % (dont 16,3 % d'usage quotidien à Liancourt), une consommation de cocaïne variant entre 7 et 10 % et une consommation d'héroïne autour de 8 %. L'étude portant sur la maison d'arrêt de Lyon et Corbas indique que les consommateurs d'au moins un produit illicite autre que le cannabis, privilégient le sniff à 60 % d'entre eux contre 30 % qui procèdent par injection. Une analyse des eaux usées effectuée par le laboratoire de pharmacologie de Paris-Sud, en partenariat avec l'OFDT, portant sur trois établissements pénitentiaires a démontré une forte présence de THC, marqueur de la consommation de cannabis, correspondant à la consommation de 2,7 joints par jour et par personne soit des niveaux 10 à 20 fois plus élevés qu'en population générale. Les autres produits détectés, en moindres quantités sont la cocaïne, la MDMA, la morphine, l'EDDP marqueur de méthadone et le buprénorphine. Selon cette analyse, les quantités consommées estimées de cocaïne et de MDMA restent comparables aux niveaux de consommation en population générale. L'entrée des produits stupéfiants s'effectue principalement à l'occasion des visites des détenus dans les parloirs, par des projections extérieures de colis, ou encore, via l'aide de professionnels ou d'intervenants extérieurs ou d'agents de l'administration pénitentiaire. La note de l'OFDT indique qu'une certaine permissivité des surveillants, à l'égard de l'usage des stupéfiants par les détenus, est susceptible de s'instaurer dans certaines maisons d'arrêt des grandes agglomérations, du fait de la peur ressentie par les personnels de surveillance au quotidien, pour partie due à la surpopulation. L'ordre en prison pouvant se négocier entre surveillants et détenus, la drogue peut alors jouer un rôle pacificateur. Les réponses sanitaires et disciplinaires introduites ces trente dernières années n'ont pas permis de juguler véritablement l'emploi des produits stupéfiants en milieu carcéral. Les commissions de discipline ne peuvent se réunir, pour des raisons de preuves, que si des détenus sont contrôlés en possession de produits stupéfiants à l'occasion de fouilles des locaux, ou de fouilles corporelles (intégrales ou par palpation). Le renforcement de la sécurité extérieure des établissements via des mesures architecturales et matérielles permettant de sectoriser les espaces et d'isoler davantage les lieux d'activités de l'extérieur n'ont pas permis de lutter efficacement contre l'introduction de substances ou d'objets interdits en détention selon la note de l'OFDT. Selon l'enquête Circé réalisée en 2019 citée par l'OFDT, les directions des établissements interrogées affirment être dans l'incapacité de donner suite à l'ensemble des incidents liés à la drogue (consommation, échanges, trafic etc.) tant ces derniers se sont généralisés à leurs yeux. Néanmoins, celles-ci affirment continuer de privilégier les réponses disciplinaires lorsque des produits stupéfiants sont découverts. La question du rétablissement des fouilles intégrales à l'issue des parloirs est revendiquée de manière constante par les organisations syndicales de surveillants afin de lutter contre l'introduction de produits et de matériels interdits en détention bien qu'elles puissent avoir un impact limité, certains produits pouvant être consommés durant le parloir et d'autres dissimulés in corpore durant celui-ci. Les réponses apportées à la problématique de l'usage des drogues en milieu carcéral oscillent entre une logique pénitentiaire, dans l'objectif de contrôle des comportements et depuis les années 1990, une logique soignante. Néanmoins, l'OFDT indique que les personnes incarcérées usagères de drogues ne bénéficient pas à ce jour, d'un égal accès aux soins et aux mêmes types d'interventions qu'en milieu libre. Face à la persistance à un haut niveau de ce fléau en milieu carcéral, il lui demande quelles initiatives il entend prendre pour tenter de juguler et de traiter plus efficacement cette problématique.
301|La France insoumise - Nouvelle Union Populaire écologique et sociale|M. Emmanuel Fernandes|Ville et logement|logement|Alerte sur le sans-abrisme|26/07/2022|M. Emmanuel Fernandes alerte M. le ministre délégué auprès du ministre de la transition écologique et de la cohésion des territoires, chargé de la ville et du logement, concernant l'absolue nécessité d'accueillir les sans-abris en hébergement d'urgence en cette période caniculaire. En effet, depuis 2017, le Gouvernement applique une politique inefficace en matière de lutte contre le sans-abrisme : le nombre de personnes sans-abris n'a cessé de croître. Or vivre à la rue tue. Les associations ne sont capables de référencer que 17 % des morts dans la rue, soit 623 en 2021, les 2 000 autres n'ont souvent ni identité, ni sépulture ni mémoire. Par ailleurs, aujourd'hui, ce sont 300 000 femmes, hommes et enfants, Français ou réfugiés qui sont sans abris. Actuellement, la France traverse une période de canicule. Les conditions de survie dans la rue, d'ordinaire déjà insupportables, s'en trouvent encore très dégradées : déshydratation, hyperthermie, macération qui aggrave les maladies de peau. Les campements de fortune se multiplient sur tout le territoire. Une myriade d'associations pallie un Gouvernement qui a choisi de laisser dormir les gens dans la rue. Les associations et les collectivités locales ne peuvent fournir tout l'effort, elles ne doivent pas être les seules à tenter d'améliorer le sort des personnes sans-abris en répondant au désengagement de l'État. De plus, la loi de finances de 2021 ferme 10 000 places cette année. Dans le Bas-Rhin, la fermeture progressive de plus d'un tiers des 2 500 chambres d'hôtel planifie la pénurie de ces hébergements d'urgence. Pourtant, dans le cadre de l'accueil réservé aux Ukrainiens, l'État montre qu'il est tout à fait possible de créer des places d'hébergement d'urgence rapidement et un guichet unique du demandeur d'asile. Dès lors, comment accepter qu'à Strasbourg, comme partout ailleurs, plus de 80 % des appels au 115 n'aboutissent pas sur une proposition ? Par conséquent, il interroge le Gouvernement sur la date à laquelle il compte augmenter le nombre de places d'hébergement d'urgence et quels autres dispositifs d'accession pérenne au logement il compte mettre en place pour en finir avec la crise du sans-abrisme, dans ce contexte d'urgence lié à la canicule.
302|La France insoumise - Nouvelle Union Populaire écologique et sociale|M. William Martinet|Ville et logement|logement|Canicule et mise à l'abri des personnes sans domicile fixe|26/07/2022|M. William Martinet interroge M. le ministre délégué auprès du ministre de la transition écologique et de la cohésion des territoires, chargé de la ville et du logement, sur la protection des personnes sans domicile fixe face à la multiplication des épisodes caniculaires liés au dérèglement climatique. Actuellement, 300 000 personnes sont sans domicile fixe, soit deux fois plus qu'en 2012, selon la fondation Abbé Pierre. Chaque nuit, près de 4 000 personnes, dont 1 000 enfants, appellent le 115 et ne se voient pas proposer l'accès à un hébergement, faute de places suffisantes, selon le collectif des associations unies. À l'occasion de l'édition 2022 de la Nuit de la solidarité, 2 598 personnes sans abri ont été décomptées dans les rues de Paris. En 2021, le collectifs de morts de la rue a recensé 623 décès de personnes sans domicile fixe, à un âge moyen de 49 ans, un chiffre en-deçà de la réalité, qui s'établirait à plus de 2 000 morts par an selon ce même collectif. Le Président de la République, Emmanuel Macron, s'était pourtant engagé le 27 juillet 2017 à ce qu'il n'y ait plus « d'ici la fin de l'année de femmes et d'hommes dans la rue, dans les bois ou perdus ». Force est de constater que cet engagement n'a pas été tenu. En mai 2021, Mme Emmanuelle Wargon, ministre déléguée chargée du logement, avait annoncé une stabilisation à 200 000 du nombre de places d'hébergement d'urgence pour mettre fin à la « gestion au thermomètre » c'est-à-dire l'ouverture de places en hiver suivie d'une fermeture à l'approche de l'été. Cet engagement, pourtant minimaliste, n'est pas tenu. En ce moment même, des places d'hébergement d'urgence sont fermées dans diverses préfectures, avec pour conséquence la mise à la rue des personnes hébergées. Ainsi, à Strasbourg, plusieurs centaines de personnes sont à la rue depuis le 23 juin 2022 en raison de la baisse du nombre de nuitées hôtelières financées par l'État pour l'hébergement d'urgence. À Grenoble, la fermeture d'un abri de nuit le 27 juin 2022 sur ordre de la préfecture n'a pas été accompagnée d'une offre de relogement pour une quinzaine de femmes désormais sans toit. En Seine-Saint-Denis, le dispositif de mise à l'abri est saturé au point que des fins de prise en charge dans les hôtels du 115 se sont traduites par la remise à la rue de 86 personnes en juin 2022. Le premier alinéa de l'article L. 345-2-2 du code de l'action sociale et des familles reconnaît pourtant le droit d'accéder à un hébergement à toute personne de manière inconditionnelle. L'article L. 345-2-2 du même code dispose que les personnes accueillies en centre d'hébergement peuvent y demeurer jusqu'à ce qu'une orientation adaptée leur soit proposée. M. le député souhaite connaître précisément le nombre de fermeture de places d'hébergement d'urgence et le nombre de personnes remises à la rue depuis le printemps 2022. Il souhaite connaître par quel moyen le Gouvernement compte agir pour remédier à cette situation. La multiplication des épisodes de forte chaleur ou de canicule présente un risque majeur pour la santé, en particulier pour les personnes vulnérables, dont les personnes sans domicile fixe. Le ministère de la santé et de la prévention recommande de rester au frais, boire de l'eau, manger en quantité suffisante, fermer les portes et fenêtres le jour et de s'humidifier le corps. Autant de gestes difficiles ou impossibles à réaliser pour toutes les personnes sans domicile fixe. La chaleur pourrait d'ailleurs être la cause de la mort d'une jeune femme sans domicile fixe mercredi 13 juillet 2022 à Lyon. Cela rend d'autant plus insupportable les remises à la rue suite à des fermetures de places d'hébergement d'urgence évoquées précédemment. Il souhaite donc connaître les mesures prises par le Gouvernement pour protéger les personnes sans domicile lors des épisodes persistants de chaleur et des canicules de cet été 2022.
303|Renaissance|Mme Corinne Vignon|Transition écologique et cohésion des territoires|logement|Certifications dans la rénovation énergétique|26/07/2022|Mme Corinne Vignon attire l'attention de M. le ministre de la transition écologique et de la cohésion des territoires sur les certifications dans la rénovation énergétique. La logique de labellisation mise en place par l'État vise à rassurer et à aiguiller le consommateur dans son projet de rénovation énergétique. Cependant, un certain nombre des concitoyens font part de leur profonde déception quant à la qualité des installations réalisées par des entreprises pourtant labellisées. Cette situation nuit à la réputation du label lui-même et aux organismes de certification. Il est essentiel de rappeler que la labellisation constitue également un indicateur et une base sur laquelle sont attribuées les aides publiques en matière de rénovation. En conséquence, elle souhaite savoir si le Gouvernement prévoit un contrôle plus strict des attributions de certification et la possibilité de les retirer plus facilement en cas de manquement au respect des critères de qualité.
304|Renaissance|Mme Véronique Riotton|Transition écologique et cohésion des territoires|logement|Révision de l'arrêté du 30 juin 1999 relatif à la règlementation acoustique|26/07/2022|Mme Véronique Riotton attire l'attention de M. le ministre de la transition écologique et de la cohésion des territoires sur l'arrêté du 30 juin 1999 relatif aux modalités d'application de la réglementation acoustique. Cet arrêté donne des tolérances acoustiques de 3dB sans prendre en compte des malfaçons majeures de conception des menuiseries constatées par les experts et est contradictoire avec l'article L. 111-22 du code de la construction et de l'habitation (CCH) qui mentionne : « Le vendeur est tenu de la garantie décennale si les défauts d'isolation phonique rendent l'immeuble impropre à sa destination ». Ces contradictions posent questions pour certains des concitoyens qui voient apparaître des malfaçons dans les logements et copropriétés, sur le sujet des entrées d'air, des joints et de l'affaiblissement acoustique des vitrages. Aussi, elle aimerait savoir si la révision de cet arrêté du 30 juin 1999 est envisagée par le Gouvernement.
305|Les Républicains|M. Vincent Descoeur|Économie, finances, souveraineté industrielle et numérique|logement : aides et prêts|Dispositifs d'aide pour les travaux d'isolation thermique|26/07/2022|M. Vincent Descoeur appelle l'attention de M. le ministre de l'économie, des finances et de la souveraineté industrielle et numérique sur l'évolution des aides en faveur de l'isolation thermique des bâtiments. On est tous conscients que les risques liés au réchauffement climatique sont préoccupants. Aussi, il est primordial de promouvoir les aides permettant de réduire les émissions de gaz à effet de serre et la consommation énergétique des bâtiments. Or le Gouvernement a annoncé en mai 2021 l'arrêt anticipé du « coup de pouce isolation » dans le cadre des certificats d'économie d'énergie (CEE). Un sursis a finalement été accordé jusqu'au 30 juin 2022, avec d'ici là les primes réduites de 40 % pour les ménages modestes. Aujourd'hui, cet arrêt en deux temps du « coup de pouce isolation » n'est pas compensé par MaPrimeRénov'. En effet, les travaux d'isolation des combles perdus et des planchers sont les seuls gestes d'isolation à ne pas être intégrés à cette aide financière, ce qui était initialement justifié par l'existence du « coup de pouce isolation ». Or la réintégration de ces gestes d'isolation dans MaPrimeRénov' est essentielle pour assurer une continuité des aides et poursuivre la massification des travaux. Les gains d'efficacité énergétique de ces gestes le justifient pleinement : d'après l'ADEME, l'isolation des combles perdus évite 30 % des déperditions thermiques, tandis que l'isolation des planchers prévient jusqu'à 10 % de gaspillage énergétique. Une stratégie de rénovation énergétique basée uniquement sur le changement de mode de chauffage entraînerait des conséquences néfastes sur le pouvoir d'achat des ménages, surtout dans un contexte de flambée des prix de l'énergie. La rénovation du système de chauffage, sans travaux d'isolation, maintient un niveau de frais énergétiques et de maintenance élevé. À l'inverse, une isolation performante permet de réduire durablement le besoin en énergie donc la facture associée. Si l'on souhaite atteindre la neutralité carbone d'ici à 2050 tout en poursuivant un objectif social de lutte contre la précarité énergétique, on doit donc adopter une politique ambitieuse et globale d'isolation des bâtiments. Une isolation performante du bâti serait une condition sine qua non pour son efficacité énergétique. Il souhaiterait donc savoir, compte tenu des modifications du dispositif, quelles aides le Gouvernement prévoit d'instaurer à partir de juillet 2022 pour continuer et massifier les travaux d'isolation thermique et lutter ainsi efficacement contre la précarité énergétique des ménages.
306|Non inscrit|M. Jean-Charles Larsonneur|Santé et prévention|maladies|Epilepsie|26/07/2022|M. Jean-Charles Larsonneur interroge M. le ministre de la santé et de la prévention sur la prise en charge des patients épileptiques en France. Encore méconnue contrairement aux autres maladies neurologiques, l'épilepsie concerne environ 600 000 personnes selon l'assurance maladie. Elle affecte de façon importante leur espérance de vie ainsi que leur qualité de vie. Aussi les malades réclament-ils une filière de soins organisée, avec davantage de médecins épileptologues, des professionnels de santé formés et dédiés à l'épilepsie, l'accès aux examens de diagnostic et de suivi indispensables dans des délais raisonnables, des établissements médico-sociaux adaptés, des enseignants informés qui puissent disposer de ressources pédagogiques pour mieux accompagner les enfants malades, des emplois aménagés et une reconnaissance de leur handicap et des compensations adaptées. Il souhaiterait donc connaître la stratégie la stratégie du Gouvernement pour améliorer la prise en charge de ces patients.
