id|groupe|nom|ministère_interrogé|rubrique|titre|date|question|question_clean
65|Les Républicains|M. Raphaël Schellenberger|Transition écologique et cohésion des territoires|logement : aides et prêts|Modification des critères d'attribution du dispositif « MaPrimeRénov »|12/07/2022|M. Raphaël Schellenberger appelle l'attention de M. le ministre de la transition écologique et de la cohésion des territoires au sujet de la modification des critères d'attribution du dispositif d'aide à la rénovation énergétique « MaPrimeRénov ». À sa création en 2020, l'aide à la rénovation énergétique « MaPrimeRénov » était accessible à tous les propriétaires d'un logement construit il y a plus de deux ans et ce, sans critère de ressources. Or le décret n° 2021-1938 relatif à la prime de transition énergétique publié le 30 décembre 2021 a modifié le critère d'ancienneté. En effet, depuis le 1er janvier 2022, seuls les logements anciens ayant plus de 15 ans d'ancienneté sont éligibles à l'aide. Les habitations récentes en sont donc exclues à l'exception du remplacement d'une chaudière fonctionnant au fioul. Cette modification des critères d'attribution peut engendrer des situations contraires à l'objectif initial de la prime. Ainsi, les propriétaires d'un bien immobilier de moins de 15 ans ne sont plus incités à investir dans des installations énergétiques vertueuses car plus onéreuses. Certains propriétaires, faute de pouvoir bénéficier de « MaPrimeRénov' », se tournent vers des installations dites « énergivores ». Il lui demande à cet égard si le Gouvernement entend revoir les conditions du dispositif « MaPrimeRénov » afin qu'il puisse bénéficier au plus grand nombre comme cela était le cas à sa création.|appeler transition écologique cohésion territoire sujet modification critère attribution aide rénovation énergétique MaPrimeRénov création 2020 aide rénovation énergétique MaPrimeRénov accessible propriétaire logement construire an critère ressource décret numéro 2021 1938 relatif prime transition énergétique publier 30 décembre 2021 modifier critère ancienneté janvier 2022 logement ancien 15 an ancienneté éligible aide habitation récent exclure exception remplacement chaudière fonctionner fioul modification critère attribution engendrer contraire objectif initial prime propriétaire bien immobilier 15 an inciter investir installation énergétique vertueuser onéreux propriétaire faute bénéficier MaPrimeRénov tourner installation énergivore égard gouvernement entendre revoir condition MaPrimeRénov bénéficier grand celer création
66|Gauche démocrate et républicaine - NUPES|Mme Soumya Bourouaha|Intérieur et outre-mer|lois|Prévenir les expulsions locatives en faisant appliquer la circulaire du 21 avril|12/07/2022|Mme Soumya Bourouaha interroge M. le ministre de l'intérieur et des outre-mer sur la circulaire interministérielle du 26 avril 2021 (NOR : INTK2111638J) concernant la prévention des expulsions locatives et son manque d'application sur l'ensemble du territoire. En 2020, suite à la pandémie de la covid-19, le Gouvernement a fait le choix de prolonger la trêve hivernale jusqu'au 31 mai 2021 afin de protéger les personnes menacées par une procédure d'expulsion locative. Une circulaire interministérielle a été rédigée à l'attention des préfets de régions et des préfets départementaux précisant notamment « qu'aucun CFP (concours de la force publique) ne puisse être désormais octroyé dans le parc social sans que le bailleur et le réservataire du logement n'aient fait la démonstration qu'ils ne disposent d'aucun logement adapté aux caractéristiques socio-économiques de l'occupant au sein de leur parc ou de leur contingent respectivement ». Or plusieurs associations à Paris et en Île-de-France l'ont alerté quant à la non application de cette circulaire. Alors que le pays connaît actuellement une résurgence des cas de covid-19 et qu'une nouvelle vague épidémique risque de déferler à l'automne 2022, cette décision inacceptable met en danger de nombreux locataires, souvent accompagnés de leurs enfants. Ainsi, elle déplore que la circulaire en date du 26 avril 2021 ne soit toujours pas appliquée sur l'ensemble du territoire et souhaite savoir quelles mesures seront mises en place par le ministrère pour répondre à ce problème urgent.|interroger intérieur outre-mer circulaire interministériel 26 avril 2021 NOR INTK2111638J prévention expulsion locatif manque application ensemble territoire 2020 suite pandémie covid-19 gouvernement choix prolonger trêve hivernal 31 mai 2021 protéger menacer procédure expulsion locative circulaire interministériel rédiger préfet région préfet départemental préciser aucun cfp concours force public octroyer parc social bailleur réservataire logement démonstration disposer aucun logement adapter caractéristique socio-économique occupant sein parc contingent respectivement association Paris Île-de-France alerter application circulaire pays connaître actuellement résurgence covid-19 vague épidémique risque déferler automne 2022 décision inacceptable mettre danger locataire accompagner enfant déplorer circulaire date 26 avril 2021 appliquer ensemble territoire souhaiter savoir mesure mettre place ministrère répondre problème urgent
67|Les Républicains|M. Patrick Hetzel|Relations avec le Parlement|lois|Taux de remise des rapports demandés par le Gouvernement|12/07/2022|M. Patrick Hetzel appelle l'attention de M. le ministre délégué auprès de la Première ministre, chargé des relations avec le Parlement, sur le taux de remise des rapports demandés lors de l'examen de projets de loi. Alors que ce taux s'établissait à 28 % lors du précédent bilan, il atteint 21 % pour la dernière session (27 sur 127). Ainsi, la commission de l'aménagement du territoire et du développement durable passe d'un taux de remise de 5 à 4 %. Le taux le plus surprenant est pour le Gouvernement qui ne remet pas les rapports qu'il s'est lui-même imposé de rédiger par l'intermédiaire d'un amendement qu'il a proposé et fait voter. Pour la session 2018-2019, ce taux était de 43 % Il est passé à 11 % pour la session 2020-2021 avec seulement un rapport remis sur les neuf demandés par amendement gouvernemental. Aussi, il lui demande à quelle date paraîtront les autres rapports gouvernementaux.|appeler déléguer auprès charger relation parlement taux remettre rapport demander examen projet loi taux établir 28 précédent bilan atteindre 21 session 27 127 commission aménagement territoire développement durable passer taux remise 5 4 taux surprenant gouvernement remettre rapport imposer rédiger intermédiaire amendement proposer voter session 2018 2019 taux 43 passer 11 session 2020 2021 rapport remettre neuf demandé amendement gouvernemental date paraître rapport gouvernemental
68|Les Républicains|M. Thibault Bazin|Santé et prévention|maladies|Meilleure reconnaissance de la fibromyalgie|12/07/2022|M. Thibault Bazin appelle l'attention de M. le ministre de la santé et de la prévention sur la nécessité d'assurer une meilleure reconnaissance de la fibromyalgie. En effet, les personnes qui en sont atteintes ont l'impression de se battre seules face à un mur administratif alors que leur vie quotidienne et professionnelle est fortement perturbée par ce syndrome provoquant, entre autres, des douleurs importantes et une fatigue intense. L'OMS a reconnu cette maladie il y a 30 ans et depuis, dans le pays, l'évolution est bien lente. Un rapport de l'INSERM de 2020 reconnaît que la fibromyalgie est un syndrome douloureux chronique, associant de nombreux symptômes non spécifiques et en intensité variable : des douleurs chroniques diffuses et fluctuantes, une asthénie persistante, des difficultés de concentration, des troubles du sommeil et un déconditionnement qui conduit à l'inactivité physique. Ce rapport préconise « une approche multimodale centrée sur le patient pour une prise en charge efficiente sur le long terme ». Mais la reconnaissance de la maladie serait compromise du fait de l'absence de causes connues, ce qui est difficilement admissible par les intéressés. Si une prise en charge est possible au titre des affections « hors liste », conformément à l'article R. 322-6 du code de la sécurité sociale, pour les patients souffrant de formes sévères et invalidantes, cette mesure est trop restrictive. Les services du ministère des solidarités ont mis en place une information pour le grand public en développant des moyens de sensibilisation, afin de détecter et diagnostiquer plus précocement la fibromyalgie, en formant les professionnels à l'utilisation de l'outil de dépistage rapide de la fibromyalgie (questionnaire FIRST) et de renforcer la formation des médecins généralistes sur l'usage et le mésusage des opioïdes antalgiques, mais ces mesures sont loin de répondre aux réelles attentes des patients. La Haute Autorité de santé a été saisie pour élaborer des recommandations de bonnes pratiques sur le parcours du patient douloureux chronique. La parution de ces recommandations, annoncée fin 2021, a pris du retard. Mais, de toutes façons, les patients espèrent plus que des recommandations. Il lui demande si le Gouvernement compte répondre aux attentes réelles des patients atteints de fibromyalgie qui sont une meilleure reconnaissance de cette maladie et une réelle prise en charge par la CPAM et les MDPH.|appeler santé prévention nécessité assurer meilleur reconnaissance fibromyalgie atteindre impression battre face mur administratif vie quotidien professionnel fortement perturber syndrome provoquer entrer douleur important fatigue intense om reconnaître maladie 30 an pays évolution bien lent rapport inserm 2020 reconnaître fibromyalgie syndrome douloureux chronique associer symptôme intensité variable douleur chronique diffus fluctuant asthénie persistante difficulté concentration trouble sommeil déconditionnement conduire inactivité physique rapport préconiser approche multimodal centrer patient prise charge efficient long terme reconnaissance maladie compromettre absence cause connu difficilement admissible intéressé prise charge titre affection liste conformément article r. 322 6 code sécurité social patient souffrir forme sévère invalidant mesure trop restrictif service ministère solidarité mettre place information grand public développant moyen sensibilisation détecter diagnostiquer précocement fibromyalgie former professionnel utilisation outil dépistage rapide fibromyalgie questionnaire FIRST renforcer formation médecin généraliste usage mésusage opioïde antalgique mesure loin répondre réel attente patient haute Autorité santé saisir élaborer recommandation bon pratique parcours patient douloureux chronique parution recommandation annoncer fin 2021 prendre retard patient espérer recommandation gouvernement compte répondre attente réel patient atteindre fibromyalgie meilleur reconnaissance maladie réelle prise charge cpam mdph
69|La France insoumise - Nouvelle Union Populaire écologique et sociale|M. Damien Maudet|Santé et prévention|médecine|Déserts médicaux : y a-t-il des zones de non-droit, à la santé ?|12/07/2022|M. Damien Maudet interpelle M. le ministre de la santé et de la prévention au sujet des déserts médicaux. André, de Saint-Anne-Saint-Priest lui explique : « Si j'ai besoin d'un rendez-vous chez le généraliste, il me faut trois semaines en moyenne ». Même problème pour Samuel de Peyrat-le-Château : « J'ai appelé 8 dentistes pour avoir enfin un rendez-vous, dans 8 mois ! ». Ces discours, M. le député les entend chaque semaine dans sa circonscription. Ils proviennent d'habitants de commune rurale, mais également de personnes vivant à Limoges. « Impossible d'avoir un médecin traitant, heureusement j'ai celui de chez mes parents en Creuse » lui a expliqué Océane âgée de 25 ans. Récemment un article de France 3 Limousin expliquait que dans un des quartiers populaires de la capitale limousine, Beaubreuil, il n'y aura bientôt plus que 2 médecins pour les 10 000 résidents. Cette situation n'est pas spécifique à la Haute-Vienne ou au Limousin. Ce sont d'immenses parcelles du pays qui sont concernées et dans lesquelles les habitants ne peuvent accéder dignement aux services de santé. Dans plus de 10 % des communes il faut 1 mois d'attente avant de voir un généraliste. Dans un tiers du territoire il faut plus de quatre mois pour consulter un dentiste. Tout cela s'aggrave. Entre 2015 et 2019, le nombre de personnes qui vivent dans un territoire considéré comme sous-dense a doublé. Cela concerne aujourd'hui presque 4,5 millions de Français. Cela va s'aggraver. Selon les projections, le nombre de médecins généralistes va continuer de décroître pour encore 6 ans, de même pour beaucoup de spécialistes. Cette situation, on la connaissait depuis longtemps. En 2001, l'Ordre national des médecins alertait sur cette baisse de démographie médicale. Pourtant, en 20 ans rien de suffisant n'a été fait. Les cinq dernières années n'ont pas été plus brillantes. L'unique mesure, à savoir la fin du numérus clausus à la faculté, n'a été suivie de financements nécessaires à son application. Les conclusions de la mission flash sur le désengorgement des urgences ne semblent pas proposer de changement de cap. Pourtant, une des raisons pour lesquelles les urgences sont en tension vient du fait que pour beaucoup des concitoyens elles deviennent la seule porte d'entrée vers le soin, quand il n'y a plus de médecin dans le coin. Des collectivités ont pris les choses en main et ont embauché des médecins salariés. C'est le cas notamment du Cantal ou du Puy-de-Dôme. Mais l'accès à la santé pour tous ne peut être laissé à l'initiative de quelques départements qui sont déjà financièrement sous l'eau. Ce système fonctionne. Les médecins eux-mêmes en sont satisfaits. Il faut donc le pérenniser. Afin de pallier le cruel manque de généralistes et spécialistes sur le territoire, il lui demande s'il envisage de salarier des médecins ou va-t-il laisser les déserts médicaux proliférer.|interpell santé prévention sujet désert médical André saint-anne-saint-priest expliquer besoin rendez-vous généraliste falloir semaine moyenne problème Samuel Peyrat-le-Château appeler 8 dentiste rendez-vous 8 mois discours député entendre semaine circonscription provenir habitant commune rural vivre Limoges impossible médecin traitant heureusement parent Creuse expliquer Océane âgé 25 an récemment article France 3 Limousin expliquer quartier populaire capitale limousine Beaubreuil bientôt 2 médecin 10 000 résident Haute-Vienne Limousin immense parcelle pays habitant accéder dignement service santé 10 commune falloir 1 mois attente voir généraliste tiers territoire falloir mois consulter dentiste celer aggrave entrer 2015 2019 vivre territoire considérer sous-dense doublé celer presque 4,5 million français celer aller aggraver projection médecin généraliste aller continuer décroître 6 an beaucoup spécialiste connaître 2001 ordre national médecin alerter baisse démographie médical 20 an rien année brillante unique mesure savoir fin numéru clausu faculté financement nécessaire application conclusion mission flash désengorgement urgence sembler proposer changement cap raison urgence tension venir beaucoup concitoyen devenir porte entrée soin médecin coin collectivité prendre chose main embaucher médecin salarier Cantal Puy-de-Dôme accès santé initiative département financièrement sou eau système fonctionn médecin satisfaire falloir pérenniser pallier cruel manqu généraliste spécialiste territoire envisager salarier médecin aller -t désert médical proliférer
70|Socialistes et apparentés|M. Guillaume Garot|Travail, plein emploi et insertion|mort et décès|Durée des congés autorisés lors du décès d'un parent proche|12/07/2022|M. Guillaume Garot appelle l'attention de M. le ministre du travail, du plein emploi et de l'insertion sur la durée des congés autorisés lors du décès d'un parent proche. Le code du travail autorise chaque salarié à prendre des congés dans le cadre d'évènements familiaux spécifiques listés à son article L. 3142-1. L'article L. 3142-4 du même code établit des durées minimales de congés pour les salariés. Cette durée peut aller, depuis la loi du 8 juin 2020, jusqu'à huit jours lors du décès d'un enfant de moins de vingt-cinq ans, mais reste limitée à trois jours dans le cadre général du décès d'un proche parent (père, mère, beau-père, belle-mère, frère, sœur). Cependant lors d'un décès la durée de la préparation des obsèques est souvent supérieure à trois jours. La durée de congés minimale inscrite dans la loi est insuffisante pour se remettre du décès, s'occuper des funérailles et prendre les décisions administratives et financières qui s'imposent. À la charge émotionnelle s'ajoute donc une charge matérielle. Les salariés sont ainsi fréquemment obligés de prendre des jours de congés supplémentaires qui sont déduits de leur nombre total de jours de vacances annuels. Dans ces situations tragiques, permettre aux salariés d'être aux côtés de leur famille pendant tout le temps nécessaire est essentiel. Il souhaite donc connaître les intentions du Gouvernement sur l'augmentation de la durée des congés accordés aux salariés lors du décès d'un parent proche.|appeler travail plein emploi insertion durée congé autoriser décès parent code travail autoriser salarié prendre congé cadre évènement familial lister article L. 3142 1 article L. 3142 4 code établir durée minimal congé salarié durée aller loi 8 juin 2020 décès enfant vingt-cinq an limité cadre général décès parent père mère beau-père belle-mèr frère sœur décès durée préparation obsèque supérieur durée congé minimal inscrire loi insuffisant remettre décès occuper funéraille prendre décision administratif financier imposer charge émotionnel ajouter charge matériel salarié fréquemment obliger prendre congé supplémentaire déduire total vacance annuel tragique salarié côté famille temps nécessaire essentiel souhaiter connaître intention gouvernement augmentation durée congé accorder salarier décès parent
71|Démocrate (MoDem et Indépendants)|M. Philippe Latombe|Transition numérique et télécommunications|numérique|Offre Google Cloud-Thales|12/07/2022|M. Philippe Latombe appelle l'attention de M. le ministre délégué auprès du ministre de l'économie, des finances et de la souveraineté industrielle et numérique, chargé de la transition numérique et des télécommunications sur l'offre Google Cloud-Thales, S3NS. Le site internet officiel de l'offre S3NS présente celle-ci comme « Le Cloud de confiance pour la France ». L'utilisation faite ici de l'expression « Le Cloud de confiance » pose le risque d'induire les acheteurs en erreur sur le caractère exclusif de cette offre eu égard au « label Cloud de confiance » annoncé par le Gouvernement dans le cadre de sa stratégie nationale pour le cloud, annoncée le 17 mai 2021. Pour tenter de faire obstacle à cette objection, S3NS joue sur la ponctuation. Sur la page des offres, il est écrit que les données seront hébergées « en France dans les datacenters Google » concernant l'offre transitoire, puis « dans les datacenters S3NS » concernant l'offre « Cloud de Confiance ». Or à ce jour, Google ne dispose pas de ses propres datacenters en France, mais loue des espaces dans des datacenters de tiers américains, ce qui pose la question de la réelle transparence de Google quant à l'architecture technique projetée. Par ailleurs, cette offre S3NS, dite « cloud de confiance », ne sera pas opérationnelle avant le second semestre de 2024, soit trois ans après l'annonce de la doctrine « Cloud au centre » du Gouvernement. Or Thales et Google annoncent prématurément sa disponibilité future pour, de leur propre aveu, encourager les clients à signer d'ores et déjà un contrat de services d'hébergement basé sur Google Cloud, sans les garanties de sécurité et les garanties juridiques de la qualification SecNumCloud. Les clients des hébergeurs français déjà qualifiés SecNumCloud sont donc sollicités par Google sur la base d'une hypothétique offre future, très incertaine à ce stade, malgré les affirmations qui leur sont répétées. Enfin, alors qu'il a été annoncé que S3NS serait une entreprise commune entre Thales et Google, la société créée est toujours à ce jour une SASU dont Thales est l'unique associé. S'agit-il d'un délai administratif, ou existe-t-il un montage juridique qui permettrait à cette SASU (de 10 K€ de capital) de faire remonter les fonds vers une autre entité commune cachée aux yeux du public ? La question mérite d'être posée. D'un point de vue juridique, est-on sûr qu'une entité commune Thales-Google permettra d'échapper aux lois extraterritoriales et en particulier au Cloud Act ? Il y a en effet le risque d'une sous-évaluation de la réalité du partage des parts sociales entre Google et Thales. Or si Google a le contrôle de fait de S3NS, celui-ci sera soumis au Cloud Act. Enfin, quelles garanties sont données par Thales sur sa réelle capacité à auditer le code source qui sera fourni par Google ? Il a été évoqué trois jours de décalage entre l'offre publique officielle de Google Cloud et celle de S3NS, pour permettre à Thales d'effectuer les contrôles de sécurité. Or ce délai sera très insuffisant si Google envoie d'un seul coup l'équivalent de plusieurs mois de travail de centaines d'ingénieurs. Quelle protection contre les backdoors pour éviter que les services américains ne bénéficient d'un accès détourné aux données hébergées ? Il souhaite savoir, au regard de la doctrine « cloud au centre » annoncée il y a maintenant plus d'un an, comment le Gouvernement envisage d'aborder ce dossier et les questions légitimes qu'il pose en matière de protection des données.|appeler déléguer auprès économie finance souveraineté industriel numérique charger transition numérique télécommunications offre Google Cloud Thales S3NS site internet officiel offre S3NS présente cloud confiance France utilisation faite ici expression cloud confiance pose risque induire acheteur erreur caractère exclusif offre égard label cloud confiance annoncer gouvernement cadre stratégie national cloud annoncer 17 mai 2021 tenter obstacle objection S3NS joue ponctuation page offre écrire donnée héberger France datacenter google offre transitoire datacenter S3NS offre Cloud confiance google disposer propre datacenter France louer espace datacenter tiers américain pose question réelle transparence google architecture technique projeter offre S3NS cloud confiance opérationnel second semestre 2024 an annonce doctrine Cloud centre gouvernement Thales Google annoncer prématurément disponibilité futur propre aveu encourager client signer ore contrat service hébergement baser Google Cloud garantie sécurité garantie juridique qualification secnumcloud client hébergeur français qualifié secnumcloud solliciter google base hypothétique offrir futur incertain stade affirmation répéter annoncer S3NS entreprise commun entrer Thales Google société créer sasu Thales unique associer agir délai administratif exister -t montage juridique sasu 10 K€ capital remonter fonds entité commun cacher oeil public question mérite poser point vue juridique est-on sûr entité commun Thales Google échapper loi extraterritorial particulier cloud act risque sous-évaluation réalité partage social entrer google Thales Google contrôle S3NS soumettre cloud act garantie donner Thales réel capacité auditer code source fournir google évoquer décalage entrer offre public officiel google Cloud S3NS Thales effectuer contrôle sécurité délai insuffisant google envoyer coup équivalent mois travail centaine ingénieur quell protection contre backdoor éviter service américain bénéficier accès détourner donnée héberger souhaiter savoir regard doctrine cloud centre annoncer an gouvernement envisager aborder dossier question légitime pose matière protection donnée
72|Les Républicains|M. Jean-Louis Thiériot|Intérieur et outre-mer|papiers d'identité|Délai délivrance passeports et CNI|12/07/2022|M. Jean-Louis Thiériot alerte M. le ministre de l'intérieur et des outre-mer sur la durée actuelle de délivrance des passeports et cartes nationales d'identité. Par l'effet cumulé de la sortie de la crise covid et de l'approche des vacances estivales, l'afflux des demandes de renouvellement de titres d'identité a provoqué un engorgement sans précédent des services, portant le délai habituel de délivrance de quelques semaines à plusieurs mois. Le plan d'urgence mis en place en mai 2022, s'il a dans certaines zones géographiques amélioré le délai pour obtenir une date de rendez-vous pour le dépôt de la demande, n'a pas eu d'impact sur les délais d'instruction et d'impression. En dehors de certains cas limités éligibles à la procédure d'urgence, les délais actuels de délivrance demeurent de 2 à 3 mois et sont susceptibles de causer d'importants préjudices moraux et financiers. Il l'interroge donc sur les moyens supplémentaires qu'il compte mettre en œuvre pour apporter des solutions, notamment aux personnes qui ont prévu de visiter un proche malade ou ont organisé des vacances non remboursables à l'étranger sur la base d'une estimation d'un délai raisonnable de délivrance des titres d'identité et le cas échant, pour indemniser les victimes de ce ralentissement inédit de ce service public.|alerte intérieur outre-mer durée actuel délivrance passeport carte national identité cumuler sortie crise covid approche vacance estival afflux renouvellement titre identité provoquer engorgement précédent service porter délai habituel délivrance semaine mois plan urgence mettre place mai 2022 zone géographique améliorer délai obtenir date rendez-vous dépôt impact délai instruction impression limité éligible procédure urgence délai actuel délivrance demeurer 2 3 mois susceptible causer important préjudice moral financier interroge moyen supplémentaire compte mettre œuvre apporter solution prévoir visiter malade organiser vacance remboursable étranger base estimation délai raisonnable délivrance titre identité échant indemniser victime ralentissement inédit service public
73|Les Républicains|M. Thibault Bazin|Personnes handicapées|personnes handicapées|Déficits des maisons d'accueil spécialisé|12/07/2022|M. Thibault Bazin appelle l'attention de Mme la ministre déléguée auprès du ministre des solidarités, de l'autonomie et des personnes handicapées, chargée des personnes handicapées, sur la situation financière particulièrement difficile des maisons d'accueil spécialisé. En effet, ces structures ont connu des déficits importants en 2021, du fait notamment de la crise sanitaire qui a provoqué une baisse d'activité, a freiné l'accueil de nouvelles personnes. Or alors que l'État avait prévu une compensation de cette baisse d'activité en 2020, cette compensation ne semble pas avoir été prévue en 2021. Il lui demande si l'État a l'intention de soutenir financièrement ces structures qui ne peuvent faire face à ces déficits.|appeler déléguer auprès solidarité autonomie handicaper charger handicaper financier particulièrement difficile maison accueil spécialisé structure connaître déficit important 2021 crise sanitaire provoquer baisse activité freiner accueil état prévoir compensation baisse activité 2020 compensation sembler prévoir 2021 état intention soutenir financièremer structure face déficit
74|Les Républicains|M. Thibault Bazin|Personnes handicapées|personnes handicapées|PCH Seuil des 60 ans|12/07/2022|M. Thibault Bazin appelle l'attention de Mme la ministre déléguée auprès du ministre des solidarités, de l'autonomie et des personnes handicapées, chargée des personnes handicapées, sur la barrière d'âge des 60 ans en vigueur pour la prestation de compensation du handicap (PCH). Pour prétendre à cette prestation, qui permet la prise en charge de certaines dépenses liées au handicap (aides humaines en majorité mais également techniques comme le fauteuil, ainsi que l'aménagement du logement ou du véhicule et les frais de transport), il faut avoir moins de 60 ans ou remplir déjà les conditions d'attribution avant 60 ans ou continuer à travailler. Il en résulte donc que lorsque le handicap apparaît après cet âge, la compensation est traitée au titre du vieillissement et la personne n'est pas éligible à la PCH mais à l'APA. Or ces deux prestations ne sont pas du tout comparables. L'APA est une prestation forfaitaire, plafonnée, qui varie de 672 à 1 737 euros par mois, selon le degré de dépendance, alors que la PCH est individualisée et permet, par exemple, de financer l'aménagement du logement ou du véhicule, mais aussi une aide humaine à domicile, théoriquement non plafonnée. Il lui demande si le Gouvernement a l'intention d'élargir le champ d'application de la PCH en supprimant ce seuil discutable des 60 ans afin de permettre une prise en charge adaptée du handicap quel que soit l'âge auquel le handicap est survenu.|appeler déléguer auprès solidarité autonomie handicaper charger handicaper barrière âge 60 an vigueur prestation compensation handicap PCH prétendre prestation prise charge dépense lier handicap aide humain majorité technique fauteuil aménagement logement véhicule frais transport falloir 60 an remplir condition attribution 60 an continuer travailler résulter handicap apparaître âge compensation traiter titre vieillissement éligible PCH apa prestation comparable apa prestation forfaitaire plafonner varie 672 1 737 euro mois degré dépendance PCH individualiser exemple financer aménagement logement véhicule aide humain domicile théoriquement plafonner gouvernement intention élargir champ application PCH supprimer seuil discutable 60 an prise charge adapter handicap âge handicap survenir
75|Les Républicains|M. Éric Pauget|Santé et prévention|pharmacie et médicaments|Commercialisation du Sativex en France pour traiter la sclérose en plaque|12/07/2022|M. Éric Pauget appelle l'attention de M. le ministre de la santé et de la prévention sur la date de commercialisation du médicament Sativex dans l'indication « spasticité dans la sclérose en plaques (SEP) résistante aux traitements disponibles ». La SEP, maladie qui touche 100 000 personnes en France, est la première cause de handicap chez les jeunes adultes après les accidents de la route. C'est une maladie chronique, évolutive, imprévisible pouvant entraîner de multiples symptômes invalidants tels que la fatigue, les troubles cognitifs et de la parole, les troubles de la marche ou encore la spasticité. Un produit comme Sativex est reconnu pour améliorer ce dernier symptôme. En France, 5 000 patients pourraient être efficacement traités par Sativex représentant un formidable espoir pour les patients souffrant de la SEP. En 2014, l'autorisation de mise sur le marché du Sativex a été accordée par l'Agence nationale de sécurité du médicament (ANSM). Huit ans plus tard, l'incompréhension la plus totale règne parmi les patients car ce médicament proposé comme traitement dans 17 pays européens, n'est toujours pas commercialisé en France. En effet, les patients français ont à portée de main un médicament susceptible d'améliorer durablement leurs conditions de vie dont ils ne peuvent pourtant bénéficier. Depuis, c'est une médecine à deux vitesses qui se développe et dans laquelle seuls les patients, souvent les plus aisés, prennent le risque de se procurer ce produit à l'étranger. Les raisons de son blocage demeurent fluctuantes. En effet, si dans un premier temps, le blocage a été imputé aux difficultés de négociations relatives au prix de vente, entre le laboratoire en charge de la commercialisation et le comité économique des produits de santé, il semblerait désormais que sa commercialisation dépende des recommandations issues de l'expérimentation relative à la pertinence et la faisabilité de la mise à disposition du cannabis thérapeutique en France. Conscient de la nécessité de remédier aux attentes des malades atteints de SEP, aussi il lui demande de bien vouloir éclaircir les raisons de ce blocage et d'indiquer clairement si la commercialisation du Sativex est envisagée et dans l'affirmative, à quelle échéance.|appeler santé prévention date commercialisation médicament Sativex indication spasticité sclérose plaque sep résistant traitement disponible SEP maladie toucher 100 000 France cause handicap jeune adulte accident route maladie chronique évolutive imprévisible entraîner multiple symptôme invalidant fatigue trouble cognitif parole trouble marche spasticité produit Sativex reconnaître améliorer symptôme France 5 000 patient efficacement traiter Sativex représentant formidable espoir patient souffrir SEP 2014 autorisation mise marché Sativex accorder agence national sécurité médicament ANSM Huit an tard incompréhension total régner patient médicament proposer traitement 17 pays européen commercialiser France patient français portée main médicament susceptible améliorer durablement condition vie bénéficier médecine vitesse développer patient aiser prendre risque procurer produit étranger raison blocage demeurer fluctuant temps blocage imputer difficulté négociation relatif prix vente entrer laboratoire charge commercialisation comité économique produit santé sembler commercialisation dépend recommandation issu expérimentation relatif pertinence faisabilité mise disposition cannabis thérapeutique France conscient nécessité remédier attente malade atteindre SEP bien vouloir éclaircir raison blocage indiquer clairement commercialisation Sativex envisager affirmative échéance
76|Les Républicains|M. Patrick Hetzel|Santé et prévention|pharmacie et médicaments|Difficultés d'approvisionnement de médicaments très onéreux|12/07/2022|M. Patrick Hetzel appelle l'attention de M. le ministre de la santé et de la prévention sur les difficultés d'approvisionnement de médicaments très onéreux. Ces médicaments, dont le coût HT est supérieur à 3 000 euros, ne sont pas toujours disponibles. Cela est parfois dû à une mauvaise coordination entre les laboratoires, le réseau des grossistes répartiteurs et les officines. Aussi, il lui demande ce qui est envisageable pour optimiser la distribution et ainsi éviter toute répercussion sur la santé des patients.|appeler santé prévention difficulté approvisionnement médicament onéreux médicament coût HT supérieur 3 000 euro disponible celer devoir mauvais coordination entrer laboratoire réseau grossiste répartiteur officine envisageable optimiser distribution éviter répercussion santé patient
